,budget,genres,id,imdb_id,original_title,release_date,revenue,vote_average,vote_count
38,165000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",10192.0,tt0892791,Shrek Forever After,2010-05-16,752600867.0,6.3,6030.0
39,8000000.0,"[{'id': 35, 'name': 'Comedy'}]",37735.0,tt1282140,Easy A,2010-09-16,75026327.0,6.8,6006.0
40,150000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]",27022.0,tt0963966,The Sorcerer's Apprentice,2010-07-13,215283742.0,6.1,4290.0
41,85000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",22538.0,tt0446029,Scott Pilgrim vs. the World,2010-08-12,48000000.0,7.5,6425.0
42,80000000.0,"[{'id': 35, 'name': 'Comedy'}]",38365.0,tt1375670,Grown Ups,2010-06-24,271430189.0,6.3,4992.0
43,2883848.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}, {'id': 80, 'name': 'Crime'}]",239.0,tt0053291,Some Like It Hot,1959-03-19,25000000.0,8.1,2757.0
44,24000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",41283.0,tt1433108,Faster,2010-11-23,23081726.0,6.3,1574.0
45,150000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7978.0,tt0780653,The Wolfman,2010-02-10,0.0,5.8,1637.0
46,100000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",44048.0,tt0477080,Unstoppable,2010-11-04,167805466.0,6.5,2908.0
47,13000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}]",44214.0,tt0947798,Black Swan,2010-12-03,329398046.0,7.6,12385.0
48,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",44683.0,tt1216515,Tinker Bell and the Great Fairy Rescue,2010-07-29,0.0,6.6,732.0
49,0.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",61979.0,tt1648216,Tres metros sobre el cielo,2010-12-03,0.0,7.8,2497.0
50,12000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]",23759.0,tt1020558,Centurion,2010-02-15,6890432.0,6.2,1137.0
51,100000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",27581.0,tt1386588,The Other Guys,2010-08-06,170432927.0,6.3,3443.0
52,37000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",23168.0,tt0840361,The Town,2010-09-15,154026136.0,7.2,4108.0
53,47000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}]",20533.0,tt1075747,Jonah Hex,2010-06-18,10539000.0,4.9,1187.0
54,170000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",20526.0,tt1104001,TRON: Legacy,2010-12-14,400062763.0,6.4,6090.0
55,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}]",9543.0,tt0473075,Prince of Persia: The Sands of Time,2010-05-19,336365676.0,6.2,5885.0
56,14000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 9648, 'name': 'Mystery'}]",9994.0,tt0091149,The Great Mouse Detective,1986-07-02,38625550.0,7.1,1343.0
57,65000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}]",7980.0,tt0380510,The Lovely Bones,2009-02-19,93621340.0,7.0,3890.0
58,1400000.0,"[{'id': 18, 'name': 'Drama'}]",705.0,tt0042192,All About Eve,1950-10-06,8400000.0,8.2,1213.0
59,38000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 37, 'name': 'Western'}]",44264.0,tt1403865,True Grit,2010-12-22,252276927.0,7.3,4457.0
60,2000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}]",43947.0,tt1242432,I Spit on Your Grave,2010-06-17,572809.0,6.5,1788.0
61,28000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",23483.0,tt1250777,Kick-Ass,2010-03-22,96188903.0,7.1,10197.0
62,0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}]",51888.0,tt1691338,Robot Chicken: Star Wars Episode III,2010-12-19,0.0,7.4,119.0
63,110000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",27576.0,tt0944835,Salt,2010-07-21,293329073.0,6.4,4628.0
64,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10770, 'name': 'TV Movie'}]",47626.0,tt1744776,Legend of the BoneKnapper Dragon,2010-10-14,0.0,6.7,177.0
65,52000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",26389.0,tt1179034,From Paris with Love,2010-02-04,52826594.0,6.3,1651.0
66,0.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 16, 'name': 'Animation'}, {'id': 9648, 'name': 'Mystery'}]",40662.0,tt1569923,Batman: Under the Red Hood,2010-07-27,6629178.0,7.8,1296.0
67,70200000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",42949.0,tt0940656,Arthur 3: la guerre des deux mondes,2010-08-22,0.0,5.8,1329.0
68,48000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",23023.0,tt0808510,Tooth Fairy,2010-01-14,112462508.0,5.5,1711.0
69,20000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]",23631.0,tt0985694,Machete,2010-09-01,44093316.0,6.3,2747.0
70,2000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}]",25376.0,tt1305806,El secreto de sus ojos,2009-08-13,33965843.0,8.0,2030.0
71,55000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",35056.0,tt1279935,Date Night,2010-04-08,152263880.0,6.1,2429.0
72,65000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",41733.0,tt1231583,Due Date,2010-11-04,211780824.0,6.3,4654.0
73,32000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",31867.0,tt1053424,Repo Men,2010-03-18,18409891.0,6.3,1574.0
74,0.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 14, 'name': 'Fantasy'}]",43641.0,tt1701223,Superman/Shazam!: The Return of Black Adam,2010-11-16,0.0,7.3,556.0
75,0.0,"[{'id': 16, 'name': 'Animation'}]",28874.0,tt1474276,サマーウォーズ,2009-08-01,18434328.0,7.5,733.0
76,40000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]",38575.0,tt1155076,The Karate Kid,2010-06-10,359126022.0,6.5,5006.0
