,genre_ids,original_language,popularity,title,vote_average,vote_count
189,"['Documentary', 'Family']",en,8.762,Cave of Forgotten Dreams,7.3,143
310,"['Fantasy', 'Drama', 'Horror', 'Comedy']",it,7.078,Cemetery Man,7.1,192
2754,"['Drama', 'Romance']",fr,7.858,Certified Copy,7.2,149
21558,['Documentary'],en,3.034,Chasing Coral,8.2,47
5624,['Documentary'],en,5.433,Chasing Ice,7.6,91
5517,['Drama'],en,6.546,Chasing Mavericks,7.0,329
11076,['Comedy'],en,15.723,Chef,7.1,1764
5568,"['Comedy', 'Drama']",fr,6.116,Chicken with Plums,7.2,86
2744,"['Animation', 'Adventure', 'Drama', 'Fantasy']",ja,7.959,Children Who Chase Lost Voices,7.1,281
17932,"['Comedy', 'Drama', 'History']",en,6.108,Chimes at Midnight,7.4,65
5689,['Documentary'],en,4.5,Chimpanzee,7.2,61
5527,['Comedy'],es,6.406,Chinese Take-Out,7.3,186
23893,"['Adventure', 'Comedy', 'Family', 'Fantasy']",en,20.931,Christopher Robin,7.4,1280
11131,['Documentary'],en,11.334,Citizenfour,7.9,713
12381,['Documentary'],pt,1.444,City of God – 10 Years Later,7.0,33
21495,"['Thriller', 'Drama']",ar,3.394,Clash,7.5,39
23945,"['Drama', 'Horror']",fr,16.574,Climax,7.3,352
20745,"['Science Fiction', 'Drama']",en,13.044,Close Encounters of the Third Kind,7.3,2005
21182,['Drama'],en,6.547,Closet Monster,7.2,163
14620,"['Documentary', 'Music']",en,6.403,Cobain: Montage of Heck,7.7,406
20635,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']",en,25.961,Coco,8.2,8669
14302,"['Thriller', 'Science Fiction']",en,10.613,Coherence,7.3,1240
24204,"['Drama', 'Romance', 'Music']",pl,9.48,Cold War,7.6,533
24619,"['Documentary', 'Music']",en,5.791,Coldplay: A Head Full of Dreams,8.0,44
23955,"['Drama', 'History']",en,16.142,Colette,7.0,320
20746,"['Drama', 'Romance']",en,12.857,Collateral Beauty,7.2,3270
17563,"['Thriller', 'Drama', 'Romance', 'History', 'Mystery']",en,10.137,Colonia,7.4,1103
8075,"['Animation', 'Drama', 'Family']",ja,8.819,Colorful,7.4,125
20943,['Drama'],en,8.964,Columbus,7.3,130
3227,['Comedy'],en,2.838,Comedy Central Roast of Charlie Sheen,7.4,38
11606,"['Drama', 'Family']",zh,5.348,Coming Home,7.3,76
14263,['Drama'],en,12.809,Concussion,7.1,1435
21175,['Documentary'],en,6.663,Conor McGregor: Notorious,7.6,67
24183,"['Animation', 'Horror', 'Fantasy', 'Action']",en,9.841,Constantine: City of Demons - The Movie,7.2,68
280,['Drama'],en,7.51,Conviction,7.2,297
14761,"['Science Fiction', 'Comedy', 'Animation', 'Family', 'Adventure']",en,5.279,Cosmic Scrat-tastrophe,7.0,66
2800,['Drama'],en,7.406,Courageous,7.0,128
24082,"['Action', 'Animation', 'Science Fiction']",ja,11.761,Cowboy Bebop: The Movie,7.7,311
11485,['Documentary'],en,6.376,Cowspiracy: The Sustainability Secret,7.9,223
23919,"['Comedy', 'Drama', 'Romance']",en,17.969,Crazy Rich Asians,7.1,1496
2538,"['Comedy', 'Drama', 'Romance']",en,13.277,"Crazy, Stupid, Love.",7.2,4585
14225,['Drama'],en,16.356,Creed,7.3,4010
24299,['Drama'],sv,8.239,Cries and Whispers,8.0,233
8407,['Documentary'],en,5.172,Crystal Lake Memories: The Complete History of Friday the 13th,7.7,40
5982,['Drama'],en,2.319,Curfew,7.6,52
21042,['Drama'],fr,7.794,Custody,7.5,263
8483,['Documentary'],en,4.378,Cutie and the Boxer,7.2,44
490,"['Animation', 'Adventure']",en,4.2,DC Showcase: Green Arrow,7.2,54
11739,"['Drama', 'Romance', 'Comedy']",hi,3.866,Daawat-e-Ishq,7.1,31
11112,"['Drama', 'History']",en,12.389,Dallas Buyers Club,7.9,4961
18204,['Documentary'],en,3.352,Dancer,8.1,32
17574,"['Drama', 'Action']",hi,10.022,Dangal,8.1,358
23975,"['Drama', 'History']",en,15.331,Darkest Hour,7.3,2715
14222,"['Drama', 'History', 'War']",de,16.554,Das Boot,8.1,981
21018,['Comedy'],en,8.016,Dave Chappelle: Deep in the Heart of Texas,7.9,96
21181,['Comedy'],en,6.576,Dave Chappelle: Equanimity,7.6,74
21166,['Comedy'],en,6.836,Dave Chappelle: The Age of Spin,7.9,107
21305,['Comedy'],en,5.344,Dave Chappelle: The Bird Revelation,7.9,57
18095,['Documentary'],en,4.554,David Lynch: The Art Life,7.1,68
11034,"['Science Fiction', 'Action', 'Drama', 'Thriller']",en,27.641,Dawn of the Planet of the Apes,7.3,7080
