,title,production_budget,domestic_gross,worldwide_gross
1424,The Lincoln Lawyer,40000000,58000000,87100000
608,The Lion King,79300000,421800000,986200000
12,The Lone Ranger,275000000,89300000,260000000
532,The Longest Yard,82000000,158100000,191600000
342,The Lord of the Rings: The Fellowship of the Ring,109000000,315500000,887200000
425,The Lord of the Rings: The Return of the King,94000000,377800000,1141400000
426,The Lord of the Rings: The Two Towers,94000000,342500000,934700000
630,The Lost World: Jurassic Park,75000000,229100000,618600000
2186,The Lucky One,25000000,60500000,96600000
454,The Magnificent Seven,90000000,93400000,162500000
1653,The Man in the Iron Mask,35000000,57000000,57000000
578,The Manchurian Candidate,80000000,65900000,96100000
345,The Martian,108000000,228400000,655300000
2765,The Mask,18000000,119900000,351600000
786,The Mask of Zorro,65000000,93800000,233700000
775,The Matrix,65000000,171500000,463500000
159,The Matrix Reloaded,150000000,281600000,738600000
176,The Matrix Revolutions,150000000,139300000,427300000
1759,The Maze Runner,34000000,102400000,348300000
93,The Meg,178000000,145400000,529500000
1417,The Mexican,40000000,66800000,145200000
713,The Monuments Men,70000000,78000000,158700000
1099,The Mule,50000000,103800000,170900000
64,The Mummy,195000000,80100000,410000000
409,The Mummy Returns,98000000,202000000,435000000
107,The Mummy: Tomb of the Dragon Emperor,175000000,102500000,405800000
3863,The Muppet Movie,8000000,76700000,76700000
1263,The Muppets,45000000,88600000,161000000
2369,The Naked Gun 2Â½: The Smell of Fear,23000000,86900000,86900000
1860,The Notebook,30000000,81000000,116000000
1871,The Nut Job,30000000,64300000,122500000
234,The Nutcracker and the Four Realms,132900000,54900000,170300000
989,The Nutty Professor,55000000,128800000,273800000
2189,The Omen,25000000,54600000,119300000
373,The Other Guys,100000000,119200000,170900000
1401,The Other Woman,40000000,83900000,195100000
2866,The Others,17000000,96500000,207800000
978,The Pacifier,56000000,113000000,198000000
2159,The Passion of the Christ,25000000,370800000,622300000
324,The Patriot,110000000,113300000,215300000
406,The Peanuts Movie,99000000,130200000,250100000
1259,The Pelican Brief,45000000,100800000,188000000
2777,The Perfect Guy,18000000,57000000,60300000
284,The Perfect Storm,120000000,182600000,328700000
569,The Pink Panther,80000000,82200000,158900000
117,The Polar Express,170000000,187200000,311400000
1108,The Post,50000000,81900000,179700000
1432,The Prestige,40000000,53100000,104400000
856,The Prince of Egypt,60000000,101400000,218600000
1865,The Prince of Tides,30000000,74800000,74800000
1850,The Princess Diaries,30000000,108200000,165300000
1260,The Princess Diaries 2: Royal Engagement,45000000,95100000,122100000
349,The Princess and the Frog,105000000,104400000,271000000
1378,The Proposal,40000000,164000000,314700000
4666,The Purge,3000000,64500000,91300000
3770,The Purge: Anarchy,9000000,71600000,111500000
3541,The Purge: Election Year,10000000,79000000,118500000
986,The Pursuit of Happyness,55000000,162600000,307300000
3015,The Queen,15000000,56400000,128900000
226,The Revenant,135000000,183600000,532900000
1214,The Ring,48000000,129100000,248200000
1112,The Ring Two,50000000,75900000,161900000
637,The Rock,75000000,134100000,336100000
2408,The Rookie,22000000,75600000,80500000
2050,The Royal Tenenbaums,28000000,52400000,71400000
2036,The Rugrats Movie,28000000,100500000,140900000
467,The Saint,90000000,61400000,169400000
2406,The Santa Clause,22000000,144800000,189800000
778,The Santa Clause 2,65000000,139200000,172800000
755,The Score,68000000,71100000,113500000
861,The Scorpion King,60000000,90600000,165900000
625,The Secret Life of Pets,75000000,368400000,886800000
580,The Secret Life of Pets 2,80000000,63800000,113400000
436,The Secret Life of Walter Mitty,91000000,58200000,187900000
881,The Shaggy Dog,60000000,61100000,87100000
3253,The Shallows,13000000,55100000,118800000
2718,The Shape of Water,19500000,63900000,195800000
2495,The Silence of the Lambs,20000000,130700000,275700000
679,The Simpsons Movie,72500000,183100000,527100000
1374,The Sixth Sense,40000000,293500000,672800000
319,The Smurfs,110000000,142600000,563700000
332,The Smurfs 2,110000000,71000000,348500000
1390,The Social Network,40000000,97000000,224900000
143,The Sorcerer's Apprentice,160000000,63200000,218000000
3859,The Sound of Music,8200000,163200000,286200000
1279,The Specialist,45000000,57400000,57400000
431,The Spiderwick Chronicles,92500000,71200000,162800000
673,The SpongeBob Movie: Sponge Out of Water,74000000,163000000,311000000
386,The Stepford Wives,100000000,59500000,96200000
4213,The Sting,5500000,159600000,159600000
3772,The Strangers,9000000,52600000,83100000
753,The Sum of All Fears,68000000,118500000,193500000
334,The Taking of Pelham 123,110000000,65500000,152400000
1404,The Talented Mr. Ripley,40000000,81300000,128800000
3233,The Ten Commandments,13500000,85400000,85400000
645,The Terminal,75000000,77100000,218700000
3768,The Texas Chainsaw Massacre,9000000,80600000,108000000
1218,The Thomas Crown Affair,48000000,69300000,124300000
582,The Time Machine,80000000,56700000,99000000
1544,The Time Traveler's Wife,39000000,63400000,102300000
384,The Tourist,100000000,67600000,278700000
1591,The Town,37000000,92200000,152600000
848,The Truman Show,60000000,125600000,264100000
256,"The Twilight Saga: Breaking Dawn, Part 1",127500000,281300000,689400000
224,"The Twilight Saga: Breaking Dawn, Part 2",136200000,292300000,829700000
752,The Twilight Saga: Eclipse,68000000,300500000,706100000
1081,The Twilight Saga: New Moon,50000000,296600000,687600000
1555,The Ugly Truth,38000000,88900000,205300000
2179,The Untouchables,25000000,76300000,76300000
1584,The Upside,37500000,108200000,119000000
2930,The Verdict,16000000,54000000,54000000
689,The Village,71682975,114200000,257600000
4255,The Visit,5000000,65200000,98700000
1841,The Vow,30000000,125000000,197600000
2368,The Waterboy,23000000,161500000,190200000
2046,The Wedding Planner,28000000,60400000,94700000
2372,The Wedding Ringer,23000000,64500000,80200000
2337,The Whole Nine Yards,24000000,57300000,85500000
375,The Wolf of Wall Street,100000000,116900000,389900000
190,The Wolfman,150000000,62200000,142600000
307,The Wolverine,115000000,132600000,416500000
3017,The Woman in Black,15000000,54300000,129000000
227,The World is Not Enough,135000000,126900000,361700000
768,The X Files: Fight the Future,66000000,83900000,189200000
2405,There's Something About Mary,22000000,176500000,369900000
3344,Think Like a Man,12000000,91500000,113400000
2335,Think Like a Man Too,24000000,65000000,70000000
797,This Means War,65000000,54800000,157000000
1644,This is 40,35000000,67500000,90200000
1790,This is the End,32000000,101500000,126500000
169,Thor,150000000,181000000,449300000
81,Thor: Ragnarok,180000000,315100000,847000000
165,Thor: The Dark World,150000000,206400000,644600000
3358,"Three Billboards Outside Ebbing, Missouri",12000000,54500000,160200000
1221,Three Kings,48000000,60700000,107800000
3771,Thunderball,9000000,63600000,141200000
1281,Tin Cup,45000000,53900000,75900000
42,Titanic,200000000,659400000,2208200000
469,Tomb Raider,90000000,58300000,273500000
2187,Tombstone,25000000,56500000,56500000
323,Tomorrow Never Dies,110000000,125300000,339500000
122,Tomorrowland,170000000,93400000,206600000
1222,Tooth Fairy,48000000,60000000,112600000
2994,Tootsie,15000000,177200000,177200000
2993,Top Gun,15000000,179800000,356800000
278,Total Recall,125000000,58900000,211900000
504,Tower Heist,85000000,78000000,150400000
3174,Towering Inferno,14000000,116000000,139700000
1836,Toy Story,30000000,191800000,364500000
439,Toy Story 2,90000000,245900000,511400000
46,Toy Story 3,200000000,415000000,1068900000
1215,Traffic,48000000,124100000,208300000
1266,Training Day,45000000,76300000,104500000
1635,Trainwreck,35000000,110200000,141100000
153,Transformers,151000000,319200000,708300000
36,Transformers: Age of Extinction,210000000,245400000,1104000000
63,Transformers: Dark of the Moon,195000000,352400000,1123800000
35,Transformers: Revenge of the Fallen,210000000,402100000,836500000
32,Transformers: The Last Knight,217000000,130200000,602900000
272,Trolls,125000000,153700000,344200000
57,Tron: Legacy,200000000,172100000,400100000
449,Tropic Thunder,90000000,110500000,191100000
181,Troy,150000000,133300000,484200000
1628,True Grit,35000000,171200000,252300000
370,True Lies,100000000,146300000,365300000
230,Turbo,135000000,83000000,286900000
1588,Twilight,37000000,192800000,402300000
2999,Twins,15000000,111900000,216600000
481,Twister,88000000,241700000,495700000
859,Two Weeks Notice,60000000,93400000,199000000
2192,Tyler Perry's A Madea Christmas,25000000,52500000,52500000
2513,Tyler Perry's Madea's Witness Protection,20000000,65700000,67000000
2508,Tyler Perryâs Boo! A Madea Halloween,20000000,73200000,73200000
830,U-571,62000000,77100000,127600000
674,Unbreakable,73243106,95000000,248100000
781,Unbroken,65000000,115600000,163500000
718,Underworld: Awakening,70000000,62300000,160400000
1275,Underworld: Evolution,45000000,62300000,113400000
1130,Unfaithful,50000000,52800000,119100000
3169,Unforgiven,14400000,101200000,159200000
1420,Unknown,40000000,63700000,136100000
418,Unstoppable,95000000,81600000,165700000
100,Up,175000000,293000000,731500000
1859,Up in the Air,30000000,83800000,166800000
2487,Us,20000000,175000000,254200000
1117,V for Vendetta,50000000,70500000,130200000
1827,Vacation,31000000,58900000,102300000
1069,Valentine's Day,52000000,110500000,217600000
457,Valkyrie,90000000,83100000,203900000
120,Van Helsing,170000000,120200000,300200000
706,Vanilla Sky,70000000,100600000,202700000
1410,Vantage Point,40000000,72300000,150900000
2931,Varsity Blues,16000000,52900000,54300000
302,Venom,116000000,213500000,853600000
648,Vertical Limit,75000000,68500000,213500000
85,WALL-E,180000000,223800000,532500000
2014,Walk the Line,29000000,119500000,187700000
723,Wall Street 2: Money Never Sleeps,70000000,52500000,137400000
1884,Wallace & Gromit: The Curse of the Were-Rabbit,30000000,56100000,197600000
636,Wanted,75000000,134500000,342400000
711,War Horse,70000000,79900000,156800000
4665,War Room,3000000,67800000,74000000
151,War for the Planet of the Apes,152000000,146900000,489600000
235,War of the Worlds,132000000,234300000,606800000
3349,WarGames,12000000,74400000,74400000
1869,Warm Bodies,30000000,66400000,115100000
219,Watchmen,138000000,107500000,187000000
1562,Water for Elephants,38000000,58700000,116800000
109,Waterworld,175000000,88200000,264200000
2496,Wayne's World,20000000,121700000,183100000
1113,We Bought a Zoo,50000000,75600000,118700000
712,We Were Soldiers,70000000,78100000,114700000
1589,We're the Millers,37000000,150400000,267800000
1375,Wedding Crashers,40000000,209200000,283200000
583,What Dreams May Come,80000000,55500000,71500000
1639,What Happens in Vegas...,35000000,80300000,218500000
444,What Lies Beneath,90000000,155500000,288700000
2520,What Men Want,20000000,54600000,69900000
771,What Women Want,65000000,182800000,374100000
2928,When Harry Met Sallyâ¦,16000000,92800000,93000000
381,Where the Wild Things Are,100000000,77200000,99100000
2510,White Chicks,20000000,69100000,111400000
189,White House Down,150000000,73100000,205400000
3548,White Noise,10000000,56100000,92100000
695,Who Framed Roger Rabbit?,70000000,154100000,351500000
2515,Why Did I Get Married Too?,20000000,60100000,60800000
3016,Why Did I Get Married?,15000000,55200000,55900000
1561,Why Him?,38000000,60300000,117400000
845,Wild Hogs,60000000,168200000,253600000
106,Wild Wild West,175000000,113800000,221200000
1881,Without a Paddle,30000000,58200000,65100000
3352,Witness,12000000,65500000,65500000
717,Wolf,70000000,65000000,131000000
2494,Wonder,20000000,132400000,304600000
154,Wonder Woman,150000000,412600000,821100000
792,World Trade Center,65000000,70300000,163300000
68,World War Z,190000000,202400000,531500000
186,Wrath of the Titans,150000000,83700000,305300000
130,Wreck-It Ralph,165000000,189400000,496500000
635,X-Men,75000000,157300000,296900000
265,X-Men 2,125000000,214900000,406900000
171,X-Men Origins: Wolverine,150000000,179900000,374800000
92,X-Men: Apocalypse,178000000,155400000,542500000
54,X-Men: Days of Future Past,200000000,233900000,747900000
141,X-Men: First Class,160000000,146400000,355400000
37,X-Men: The Last Stand,210000000,234400000,459300000
1100,Yes Man,50000000,97700000,226000000
561,Yogi Bear,80000000,100200000,204800000
452,You Don't Mess With the Zohan,90000000,100000000,202900000
780,You've Got Mail,65000000,115800000,250800000
1050,"You, Me and Dupree",54000000,75800000,130400000
4783,Young Frankenstein,2800000,86300000,86300000
1282,"Yours, Mine and Ours",45000000,53400000,72400000
1065,Zero Dark Thirty,52500000,95700000,134600000
2366,Zombieland,23600000,75600000,102200000
570,Zookeeper,80000000,80400000,170800000
156,Zootopia,150000000,341300000,1019400000
697,xXx,70000000,141900000,267200000
